id;instant;action;patch;patch_content_type;entity_type;entity_id
1;2021-06-13T21:54:15;CREATE;../fake-data/blob/hipster.png;image/png;withdrawal Indian;98966
2;2021-06-14T16:35:16;MODIFY;../fake-data/blob/hipster.png;image/png;Tools Valley;3997
3;2021-06-14T07:43:55;MODIFY;../fake-data/blob/hipster.png;image/png;XSS;62836
4;2021-06-14T18:28:43;DELETE;../fake-data/blob/hipster.png;image/png;mindshare;36654
5;2021-06-13T22:43:07;CREATE;../fake-data/blob/hipster.png;image/png;connecting;35607
6;2021-06-14T05:12:49;MODIFY;../fake-data/blob/hipster.png;image/png;challenge Rustic;88752
7;2021-06-14T14:32:47;CREATE;../fake-data/blob/hipster.png;image/png;teal Baden-Württemberg;35836
8;2021-06-14T14:51:56;CREATE;../fake-data/blob/hipster.png;image/png;Coordinator;57385
9;2021-06-13T23:24:45;DELETE;../fake-data/blob/hipster.png;image/png;Customer;4604
10;2021-06-14T04:59:22;DELETE;../fake-data/blob/hipster.png;image/png;CSS;25802
