id;no;description;a_no;booking_date;income;expenditure;liability
1;azure Re-engineered;deposit platforms;Personal;2021-06-14T19:36:56;8813;19328;32229
2;Web;Metal;relationships Chips;2021-06-14T09:10:50;50610;41083;88290
3;Soft Marketing;Forward microchip;Metal Ethiopian;2021-06-14T07:40:09;88641;50788;28347
4;online;Implemented China;Pizza solid seamless;2021-06-14T12:02:45;49521;24253;32576
5;Computer access;withdrawal frictionless;Applications;2021-06-13T21:27:51;32083;67159;76854
6;Response Rand;Officer approach Chicken;Assimilated Concrete Supervisor;2021-06-14T05:31:58;18093;25662;43609
7;Kamerun;optimize cross-platform;bypass deposit generate;2021-06-14T04:33:01;27046;42039;36540
8;Investment;Gourde;Avon;2021-06-14T19:55:56;54205;68446;26443
9;Configuration;back-end bluetooth;Cheese Chief Steel;2021-06-14T03:23:00;95308;51997;13739
10;Indian;Kuba parsing;eco-centric;2021-06-14T10:38:48;66285;21508;38498
